enzyme	logFC	logCPM	PValue	FDR	association
3.5.1.44	-2.449394149	7.94118265	9.19E-07	1.87E-05	root
3.5.1.49	-0.526056755	7.018116361	0.355480198	0.461338855	Not associated
3.5.1.5	-1.16410835	10.20527052	3.80E-07	9.69E-06	root
3.5.1.53	-0.073938906	9.217302874	0.794819826	0.856301104	Not associated
3.5.1.54	-0.843951311	8.262337132	0.03698485	0.073998377	Not associated
3.5.1.56	-3.751689543	0.185420656	0.430359263	0.537352463	Not associated
3.5.1.59	4.005820867	3.622211865	8.07E-05	0.000660594	soil
3.5.1.6	-0.875742018	8.641325301	0.01698855	0.039300567	Not associated
3.5.1.68	-1.989770449	8.440082136	6.30E-06	8.43E-05	root
3.5.1.89	2.729638649	2.759468408	0.011575356	0.028694138	Not associated
3.5.1.96	-1.006268865	5.388368468	0.506023987	0.612579217	Not associated
3.5.2.10	-0.460438915	7.642749961	0.31493248	0.417950668	Not associated
3.5.2.14	1.077074403	10.56544075	1.94E-06	3.27E-05	soil
3.5.2.15	3.170292664	7.778071576	8.64E-09	4.35E-07	soil
3.5.2.17	-0.483271081	6.653465379	0.420677075	0.529175725	Not associated
3.5.2.2	0.371435632	9.913654624	0.092199484	0.1564843	Not associated
3.5.2.3	-0.185933753	10.95470732	0.235008657	0.329012119	Not associated
3.5.2.5	0.861715901	8.467333494	0.013727588	0.032824729	Not associated
3.5.2.6	-1.143883315	10.32956729	4.15E-07	1.02E-05	root
3.5.2.7	0.257264921	9.708218924	0.215345393	0.307538717	Not associated
3.5.2.9	-0.854593679	9.846570461	4.82E-05	0.000437062	Not associated
3.5.3.1	-0.952689629	8.97721476	0.00157685	0.006121622	Not associated
3.5.3.11	0.636208024	9.384256136	0.009750514	0.025187274	Not associated
3.5.3.12	-0.704469492	8.14418369	0.102642772	0.169523698	Not associated
3.5.3.13	-0.226107827	7.583278854	0.639122596	0.732983555	Not associated
3.5.3.23	-0.757364958	7.877136719	0.139658339	0.216622751	Not associated
3.5.3.3	3.880387921	5.221047041	1.33E-06	2.40E-05	soil
3.5.3.4	-0.157795121	7.073588915	0.787192472	0.853978318	Not associated
3.5.3.6	1.013696708	8.851308348	0.004612192	0.013939757	Not associated
3.5.3.7	-4.249666768	4.359192477	0.00157408	0.006121622	root
3.5.3.8	-1.213581508	7.781082257	0.014765046	0.034691439	Not associated
3.5.3.9	6.121516286	0.989762736	0.00159722	0.006182934	soil
3.5.4.-	0.592306181	7.364986139	0.187691126	0.275920252	Not associated
3.5.4.1	-1.132669521	9.052920409	0.000148475	0.001055735	root
3.5.4.10	0.377314549	10.72963613	0.021904404	0.048512869	Not associated
3.5.4.12	1.115396974	4.830587395	0.150272429	0.229140013	Not associated
3.5.4.13	0.440255279	9.629118747	0.046058617	0.088513786	Not associated
3.5.4.16	0.452314445	9.954654998	0.023611103	0.051119552	Not associated
3.5.4.19	0.113665658	8.465862754	0.732995487	0.809400553	Not associated
3.5.4.2	-0.878869567	9.054573224	0.008412697	0.022329182	Not associated
3.5.4.25	0.086344695	7.298756583	0.840027793	0.889402467	Not associated
3.5.4.26	-0.187070757	9.436876646	0.471687353	0.57774217	Not associated
3.5.4.27	1.609044926	3.119705621	0.091665427	0.155773575	Not associated
3.5.4.3	-1.030443206	9.275575414	0.001620671	0.006237967	root
3.5.4.4	0.688754491	10.36039784	0.000939634	0.004189587	Not associated
3.5.4.5	0.365805622	7.560223887	0.401009017	0.510677141	Not associated
3.5.4.9	0.063019162	9.791485851	0.762566582	0.832170801	Not associated
